# Rime user dictionary
#@/db_name	custom.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	532
#@/user_id	.backup
a 	啊	c=2 d=0.293948 t=530
shuang pin shi 	双拼时	c=1 d=0.444858 t=530
shuang pin zhong 	双品种	c=1 d=0.142987 t=530
shuo ming shu 	说明书	c=1 d=0.810584 t=530
su du 	速度	c=2 d=0.366282 t=530
sui zhe 	随着	c=2 d=0.348418 t=530
tai 	太	c=1 d=0.377192 t=530
tai dong 	台东	c=0 d=0.1 t=529
tai ji 	太极	c=0 d=0.0360595 t=530
tai ji tu 	太极图	c=1 d=0.402283 t=530
tai ji tu biao 	太极图标	c=1 d=0.364219 t=530
tai ji tu biao 	太极图表	c=-1 d=0.357007 t=530
tai xu 	太续	c=-1 d=0.377192 t=530
tai xu 	太虚	c=-1 d=0 t=530
ti huan 	替换	c=0 d=0.0767206 t=530
tian jia 	添加	c=12 d=4.62986 t=530
tong bu 	同步	c=2 d=1.51879 t=530
tong guo 	通过	c=3 d=0.855491 t=530
tong shi 	同时	c=1 d=0.932394 t=530
tu biao 	图标	c=2 d=1.00567 t=530
tu biao 	图表	c=0 d=0.0360595 t=530
u pan 	U盘	c=-4 d=3.475 t=530
u pan 	U盘查	c=-4 d=3.475 t=530
u pan 	U盤	c=-4 d=3.44042 t=530
wang 	网	c=0 d=0.0794534 t=530
wang luo zi yuan 	网络资源	c=1 d=0.774916 t=530
wang zhan 	网站	c=4 d=3.61037 t=530
wang zhi 	网址	c=2 d=1.31739 t=530
wei 	为	c=13 d=3.67776 t=530
wei ruan 	微软	c=1 d=0.115903 t=530
wei shen me 	为什么	c=3 d=1.44498 t=530
wei zhi 	位置	c=3 d=0.836761 t=530
wei zhi zai 	位置在	c=2 d=0.553329 t=530
wen jian 	文件	c=7 d=2.7785 t=530
wen jian jia 	文件夹	c=2 d=0.447378 t=530
wen ti 	问题	c=2 d=0.713682 t=530
wen zhang 	文章	c=2 d=1.24067 t=530
wen zi 	文字	c=0 d=0.0951229 t=530
wo 	我	c=2 d=0.710813 t=530
wo guan diao le 	我关掉了	c=1 d=0.839457 t=530
wo jue de 	我觉得	c=1 d=1 t=530
wo xuan ze 	我选择	c=1 d=0.198891 t=530
wo ye 	我也	c=0 d=0.0486752 t=530
wo ye bu xing 	我也不行	c=1 d=0.489192 t=530
wu fa 	无法	c=1 d=0.479218 t=530
wu xiao 	无效	c=2 d=1.80516 t=530
xi guan 	习惯	c=0 d=0.0814647 t=530
xi tong 	系统	c=0 d=0.0970446 t=530
xi tong she zhi 	系统设置	c=1 d=0.97531 t=530
xia mian 	下面	c=3 d=1.69156 t=530
xia mian de 	下面的	c=1 d=0.38868 t=530
xia mian yi duan 	下面一段	c=1 d=0.109701 t=530
xian 	线	c=1 d=0.292117 t=530
xian chang 	现场	c=0 d=0.0114178 t=530
xian chang ke bian cheng men zhen lie 	现场可编程门阵列	c=1 d=0.11475 t=530
xian shi 	显示	c=4 d=1.5441 t=530
xiang jie 	详解	c=3 d=1.10853 t=530
xiang ying 	相应	c=0 d=0.0909373 t=530
xiang ying chan sheng 	相应产生	c=1 d=0.913931 t=530
xiao guo 	效果	c=2 d=0.292482 t=530
xiao lang hao 	小狼毫	c=3 d=2.622 t=530
xie zai 	卸载	c=1 d=0.839457 t=530
